district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
AL-01,34.1,63.5,37.4,61.8,38.5,60.9,36.8,63.2,0,96.4,31.7,68.2,68.3,26.4,2.1,1.1,1.1,1.1,68.5,25.6,2.5,1.3,1.1,1,87,24.3,27.7,47952.00
AL-02,33,64.9,36.4,62.9,35,64.5,38.4,61.4,40.5,48.8,32.6,67.3,65.3,30.5,1.9,0.6,0.4,1.3,66.5,27.8,3,1.2,0.5,1,84.5,22.5,25.2,46817.00
AL-03,32.3,65.3,36.8,62.3,36.6,62.6,36.2,63.7,32.9,66.9,33.7,66.1,70.7,25.3,1.8,0.8,0.3,1,71.5,23.9,2.3,1.1,0.3,0.9,84.6,21.7,23.2,46576.00
AL-04,17.4,80.4,24,74.8,25.5,73.3,20.1,79.8,0,98.5,0,98.6,88.5,7,2.2,0.4,0.7,1.2,86.9,6.5,4.3,0.5,0.7,1,81.5,17.2,17.9,43458.00
AL-05,31.3,64.7,34.9,63.9,36.3,62.6,38.9,61,33.2,66.7,0,74.4,76.6,17.3,2.4,1.2,0.7,1.8,76.1,16.3,3.9,1.6,0.7,1.4,87.8,31.8,33,55043.00
AL-06,26.1,70.8,24.7,74.3,25,74.1,30.8,69.2,25.4,74.5,23.7,76.2,80.7,15.1,1.8,1,0.2,1,80.8,12.5,4.1,1.6,0.3,0.8,90.4,36.1,38,65464.00
AL-07,69.8,28.6,72.4,27.1,71.5,28.1,97.8,0,98.4,0,98.4,0,35.3,62.2,1.2,0.4,0.1,0.7,35.7,60.2,2.6,0.7,0.2,0.6,84.2,20,29.1,36447.00
AK-AL,37.6,52.8,41.2,55.3,38.1,59.7,46.5,53.1,36,50.3,41,51,67,3.1,5.6,5.4,13.3,5.5,68.4,3.1,4.7,6.2,13.2,4.5,92.7,29.2,35.6,76715.00
AZ-01,46.6,47.7,47.9,50.4,47.8,51,53.8,46.1,50.7,43.4,52.6,47.4,55.1,2.2,18.3,1.4,21.3,1.7,56.2,2.1,18.1,1.8,20.5,1.3,86.2,24.6,34.2,52705.00
AZ-02,49.6,44.7,48.4,49.9,48.9,49.8,54.7,45.2,43,57,49.9,50,68.3,3.5,22.5,2.6,1,2,69.2,3.5,21.7,3,0.9,1.7,91,34,38.9,52267.00
AZ-03,62.4,32.5,61.4,36.9,58.2,40.7,63.9,36.1,88.1,0,55.7,44.2,36.1,5.2,52.1,1.8,3.5,1.2,34.6,3.9,55.2,2.1,3.1,1.2,76,16.2,26.3,46643.00
AZ-04,27.5,67.7,31,67.2,34.4,64.2,30.5,68.2,28.5,71.5,25.8,70,79.8,1.7,14.2,1.2,1.5,1.6,79.7,1.5,14.5,1.2,1.8,1.3,87.3,19.2,20.7,50135.00
AZ-05,36.5,57.6,34.6,63.8,36.3,62.6,40.6,59.4,35.9,64.1,30.4,69.6,76.6,3,14.1,3.7,1,1.6,76.8,2.8,14,4.4,0.8,1.3,93.1,35.9,37.1,74185.00
AZ-06,42.4,52.4,38.8,59.5,41.2,57.7,44.8,55.2,37.9,62.1,35.1,64.9,80.2,2.6,11.2,3.1,1.4,1.5,79.2,2.3,12.3,3.6,1.4,1.3,92.4,44,47.2,70776.00
AZ-07,71.8,22.6,71.7,26.5,64.7,34.1,85.6,0,75.2,24.7,74.9,0,31.9,11.8,49,2.6,2.8,1.8,26.7,9,58.2,2.8,2.1,1.3,68.9,14.3,27.8,41714.00
AZ-08,37,58.1,36.9,61.7,38.4,60.6,44.5,55.5,0,68.5,0,75.8,74.8,4.4,15.3,3.2,0.6,1.6,76.1,3.6,15.1,3.2,0.7,1.3,92.1,29.4,31,65813.00
AZ-09,54.7,38.4,51.1,46.6,51.3,47.4,61.1,38.9,60.9,39,54.7,41.9,66.7,5.8,19.1,3.7,2.6,2.1,64.4,4.7,22.4,4.5,2.3,1.7,89.8,38.5,45.3,56869.00
AR-01,30.2,65,36.3,61,39.2,58,28.8,68.9,0,76.3,32.4,63.3,79.3,16.5,1.8,0.3,0.4,1.7,79.5,16.4,2.3,0.5,0.4,0.9,84.3,16.4,17.9,40980.00
AR-02,41.7,52.4,42.9,54.7,44.3,53.8,45.8,52.1,36.8,58.3,43.6,51.9,73.1,21.7,2.4,1,0.3,1.5,73.4,19.6,4,1.4,0.4,1.1,89.7,29.6,32.3,50929.00
AR-03,30.5,61.9,31.6,65.5,33.9,63.9,32.6,64.7,0,77.3,0,79.4,85,3,6.8,2,1.1,2.1,81.8,2.4,10,2.9,1.3,1.6,85.9,27.3,29.1,50554.00
AR-04,31.3,64.2,35.9,61.8,37.4,59.9,31.2,66.7,0,74.9,42.6,53.7,76.1,19.1,2.5,0.5,0.7,1.2,75.4,18.3,4,0.6,0.6,1,84.7,16.6,18,40937.00
CA-01,36.5,56.2,40.3,56.6,41.8,53,45.1,54.9,40.9,59.1,39,61,81.9,1.6,9.8,2.3,1.5,2.8,82.1,1.3,9.9,2.3,1.8,2.6,90.1,24.4,26,51104.00
CA-02,69,23.3,69,27,71.4,25.4,77,23,76.9,23.1,75,25,79.9,1.6,10.2,3.5,1.8,3,76.2,1.7,14.1,3.6,1.9,2.5,90.6,41.5,46.4,72596.00
CA-03,53,40.4,54.3,43.1,54.9,42.3,58.1,41.9,59.4,40.6,52.7,47.3,57,6.9,20.9,10.9,0.7,3.6,55.1,6,23.6,11.2,0.9,3.3,84.1,25.4,29.4,64891.00
CA-04,39.3,54,39.5,57.9,42.9,54.2,45.9,54.1,37.3,62.7,0,100,80.8,1.3,10.2,4.4,0.7,2.6,81,1.2,10.4,4,1,2.3,93.1,33.3,34,75935.00
CA-05,69.2,24.3,69.7,27.5,70.4,26.2,78.9,0,76.9,23.1,75.7,0,60.5,6.8,17.7,11.3,0.5,3.3,57.8,6.2,21.5,11.3,0.6,2.6,87.4,31.7,38.3,75524.00
CA-06,69.2,24.4,69.1,28.3,67.6,29.3,100,0,75.4,24.6,72.7,27.3,44.5,14,21.1,16.2,0.5,3.7,43.7,12.1,23.3,16.4,0.6,3.7,84.3,28.5,37.1,54819.00
CA-07,52.3,40.9,50.8,46.8,51.4,45.9,55,45,51.2,48.8,50.4,49.6,59.9,7.5,13.9,14.5,0.4,3.7,61.4,7,13.6,14.1,0.5,3.3,90.4,33.4,35.2,74541.00
CA-08,39.6,54.7,41.7,55.6,41.6,54.8,0,100,37.7,62.3,32.4,67.6,54,8,31.8,3.2,1,2.1,56,7.1,30.3,3.5,1.1,2.2,82.9,16.8,20.6,52244.00
CA-09,56.6,38,57.8,40.1,56.3,40.8,56.5,43.5,57.4,42.6,52.4,47.6,43.8,10,28.7,14,0.3,3.1,42,8.1,32.6,14.2,0.5,2.7,80.7,20.2,25.1,64283.00
CA-10,48.5,45.5,50.6,47,49.9,47.2,52.3,47.7,48.3,51.7,43.9,56.1,53.2,3.6,32.6,7.3,0.5,2.6,51.8,3.3,34.8,6.9,0.6,2.6,80,17.6,22.1,62837.00
CA-11,71.5,22.7,67.6,30,68.8,28.4,74.1,25.9,72.1,27.9,67.3,32.7,55.8,9,17.3,13.8,0.2,3.8,52.3,8.8,22.1,13.7,0.3,2.8,88.3,44.1,56.5,88762.00
CA-12,86.2,8.7,84.1,12.5,83.8,12.8,86.8,13.2,80.9,0,83.3,16.7,48.5,5.6,11.2,31.2,0.2,3.3,46.3,5.6,13.5,31.5,0.2,2.9,88.9,58.9,77.3,105548.00
CA-13,87.4,6.8,87.5,9,87.1,9.9,88.4,0,90.8,9.2,88.5,11.5,42,18.7,14.1,20.8,0.4,4,37.4,19,18,22.1,0.3,3.4,85.6,48.2,71.2,75420.00
CA-14,76.9,18.2,74.2,23.6,73.4,23.6,79.2,20.8,80.9,19.1,76.7,23.3,41.2,3.4,17.8,34.5,0.2,2.9,39.3,3.4,22,32.4,0.2,2.7,88.4,47.4,56.9,107681.00
