state,district,party,inc,p_lean1
Georgia,8,republican,1,0.5516034581033504
North Carolina,3,republican,1,0.5516034581033504
Florida,10,democrat,1,0.465890121049801
Florida,14,democrat,1,0.465890121049801
Florida,21,democrat,1,0.465890121049801
Florida,24,democrat,1,0.465890121049801
Georgia,5,democrat,1,0.465890121049801
Pennsylvania,18,democrat,1,0.465890121049801
Florida,20,democrat,1,0.46509012104980096
New York,5,democrat,1,0.459890121049801
New York,16,democrat,1,0.458690121049801
Massachusetts,8,democrat,1,0.45009012104980095
Massachusetts,7,democrat,1,0.448390121049801
Alabama,7,democrat,1,0.44389012104980097
Massachusetts,4,democrat,0,0.44309012104980094
Massachusetts,1,democrat,1,0.44229012104980103
Wisconsin,2,democrat,1,0.44009012104980094
New York,15,democrat,0,0.42519012104980103
New York,13,democrat,1,0.40999012104980104
New York,8,democrat,1,0.407490121049801
Pennsylvania,3,democrat,1,0.39969012104980095
New York,7,democrat,1,0.398390121049801
Virginia,3,democrat,1,0.378090121049801
Texas,30,democrat,1,0.37639012104980096
New York,6,democrat,1,0.37049012104980095
Texas,13,republican,0,0.3670034581033504
New York,9,democrat,1,0.357890121049801
California,37,democrat,1,0.356690121049801
Texas,9,democrat,1,0.35649012104980093
Texas,11,republican,0,0.3530034581033504
California,13,democrat,1,0.349690121049801
Alabama,4,republican,1,0.34930345810335034
Georgia,9,republican,0,0.3467034581033504
New York,17,democrat,0,0.343790121049801
Illinois,7,democrat,1,0.34209012104980097
New Jersey,10,democrat,1,0.34149012104980103
Kentucky,5,republican,1,0.34100345810335037
California,12,democrat,1,0.33409012104980096
Illinois,4,democrat,1,0.331790121049801
New York,12,democrat,1,0.32909012104980095
Tennessee,1,republican,0,0.3222034581033503
Arizona,7,democrat,1,0.32199012104980096
Nebraska,3,republican,1,0.31880345810335037
Georgia,14,republican,0,0.3166034581033504
Texas,28,democrat,1,0.30979012104980097
Texas,4,republican,1,0.3086034581033504
Michigan,13,democrat,1,0.308290121049801
Texas,19,republican,1,0.30390345810335034
Washington,7,democrat,1,0.301490121049801
