"V2","V1","V3"
0.037,0.051,0.036
0.038,0.017,0.043
0.032,0.027,0.03
0.02,0.034,0.035
0.023,0.023,0.011
0.022,0.02,0.025
0.035,0.016,0.025
0.067,0.088,0.054
0.018,0.018,0.01
0.012,0.003,0.012
0.055,0.06,0.047
0.068,0.031,0.056
0.024,0.027,0.027
0.027,0.016,0.018
0.033,0.014,0.021
0.034,0.031,0.03
0.058,0.011,0.054
0.029,0.058,0.041
0.035,0.017,0.03
0.032,0.023,0.014
0.043,0.019,0.034
0.027,0.02,0.016
0.03,0.016,0.021
0.051,0.048,0.006
0.027,0.017,0.021
0.022,0.025,0.035
0.037,0.03,0.025
0.02,0.013,0.013
0.026,0.017,0.029
0.027,0.023,0.017
0.034,0.012,0.024
0.024,0.023,0.017
0.024,0.017,0.009
0.03,0.016,0.033
0.028,0.011,0.02
0.04,0.024,0.031
0.023,0.031,0.019
0.017,0.014,0.015
0.036,0.029,0.058
0.046,0.024,0.026
0.047,0.041,0.046
0.044,0.032,0.028
0.02,0.017,0.025
0.027,0.025,0.029
0.079,0.062,0.042
0.018,0.01,0.015
0.019,0.019,0.016
0.046,0.035,0.033
0.029,0.02,0.016
0.106,0.095,0.133
0.25,0.219,0.236
