date,lower_trump,mean_trump,upper_trump,lower_biden,mean_biden,upper_biden
2020-03-25,150,230.58744,314,216,299.87784,380
2020-03-26,151,230.21792,313,217,300.37544,381
2020-03-27,153,232.7604,315,215,297.87792,378
2020-03-28,152,233.17304,316,215,297.32712,379
2020-03-29,169,238.95812,307,228,298.78816,370
2020-03-30,169,238.35468,307,228,299.3582,370
2020-03-31,169,238.43444,307,228,299.29676,370
2020-04-01,144,242.7834,343,195,295.15756,394
2020-04-02,144,243.84368,342,196,294.11324,394
2020-04-03,146,245.7238,346,192,292.22144,392
2020-04-04,145,245.03364,345,193,292.91196,393
2020-04-05,144,243.27728,342,196,294.67096,394
2020-04-06,144,242.9656,342,196,294.97896,394
2020-04-07,144,243.90432,343,195,294.03204,394
2020-04-08,143,242.2612,342,196,295.6758,395
2020-04-09,145,242.985,341,197,294.95376,393
2020-04-10,143,242.0702,341,197,295.8698,395
2020-04-11,144,243.09164,342,196,294.85316,394
2020-04-12,146,245.41816,345,193,292.52136,392
2020-04-13,146,245.30108,344,194,292.6322,392
2020-04-14,144,243.24196,343,195,294.69676,394
2020-04-15,143,241.81308,342,196,296.12428,395
2020-04-16,143,242.5486,343,195,295.38992,394
2020-04-17,143.95000000000005,244.93788,345,193,293.00288,394
2020-04-18,141,242.25516,344,194,295.6832,397
2020-04-19,141,239.87264,340,198,298.06808,397
2020-04-20,140,239.9278,341,197,298.01412,398
2020-04-21,137,238.03504,341,197,299.92868,401
2020-04-22,139,238.64396,341,197,299.32604,399
2020-04-23,137,238.14576,342,196,299.81992,401
2020-04-24,137,238.23652,341,197,299.73492,400
2020-04-25,138,237.47252,340,198,300.49976,400
2020-04-26,138,238.00328,341,197,299.95852,400
2020-04-27,137,236.14816,339,199,301.81684,401
2020-04-28,136,236.15288,341,197,301.80792,402
2020-04-29,136,235.83288,340,198,302.13072,402
2020-04-30,135,236.0662,342,196,301.89756,403
2020-05-01,135,236.0924,341,197,301.87316,403
2020-05-02,136,236.181,340,198,301.78288,402
2020-05-03,137,236.42748,341,197,301.542,401
2020-05-04,136,235.07852,340,198,302.88908,402
2020-05-05,137,235.61132,339,199,302.35688,401
2020-05-06,136,234.74796,338,199.95000000000005,303.21804,402
2020-05-07,136,235.12376,338.0499999999993,199.95000000000005,302.8328,402
2020-05-08,135.95000000000005,235.06076,338,200,302.90756,402
2020-05-09,136,235.4906,338,200,302.47868,402
2020-05-10,135,235.98244,339,199,301.98252,403
2020-05-11,136,236.39076,340,198,301.5736,402
2020-05-12,136,236.72308,341,197,301.24356,402
2020-05-13,135,236.36108,340,198,301.5966,403
2020-05-14,136,235.9904,340,198,301.97472,402
2020-05-15,135,236.55136,340,198,301.41468,403
